SMILES,Name,MW,logP,HBD,HBA,TPSA,rotatable_bonds
C(C(=O)O)N,Alanine,89.09,-2.85,2,4,63.3,2
CC(C)CC(C(=O)O)N,Leucine,131.17,-1.52,2,4,63.3,4
C1=CC=C(C=C1)CC(C(=O)O)N,Phenylalanine,165.19,-1.38,2,4,63.3,4
C(CC(=O)O)C(C(=O)O)N,Glutamic_acid,147.13,-3.69,3,6,100.6,5
CSCCC(C(=O)O)N,Methionine,149.21,-1.87,2,4,88.6,5
C1=CNC=C1CC(C(=O)O)N,Tryptophan,204.23,-1.05,3,4,79.1,4
OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,Glucose,180.16,-2.90,5,11,110.4,1
c1nc(N)c2ncnc2n1[C@@H]3O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]3O,ATP,507.18,-7.90,5,18,307.0,5
CCCCCCCCCCCCCCCCCC(=O)O,Stearic_acid,284.48,7.50,1,2,37.3,16
CCCCCCCC=CCCCCCCCC(=O)O,Oleic_acid,282.47,6.98,1,2,37.3,15
CC(=O)CC(=O)CC(=O)O,Acetoacetate,102.09,-0.28,1,4,71.4,3
C1=CC(=CC=C1O)CCN,Dopamine,153.18,0.03,3,3,66.5,3
C1=CC2=C(NC=C2CCN)C=C1O,Serotonin,176.22,0.91,3,3,62.0,3
