idx	accession	class	len_nt	tuple	foldv2_aa_len	foldv2_energy	winding	frobenius	activation	genepipe_dG	genepipe_aa	pdb
001	XM_022081632.2	tRNA XM_022081632.2 PREDICTED: Zootermopsis nevadensis tRNA methyltransferase 6 non-catalytic subunit (LOC110838438), transcript variant X5, mRNA	1811	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	23	-2.8937	404	True	9			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/001_XM_022081632.2.pdb
002	XM_087351411.1	tRNA XM_087351411.1 PREDICTED: Zootermopsis nevadensis tRNA methyltransferase 6 non-catalytic subunit (LOC110838438), transcript variant X4, mRNA	1730	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	2	0.0	387	False	2			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/002_XM_087351411.1.pdb
003	XM_022081631.2	tRNA XM_022081631.2 PREDICTED: Zootermopsis nevadensis tRNA methyltransferase 6 non-catalytic subunit (LOC110838438), transcript variant X3, mRNA	1303	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	20	1.886	292	True	7			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/003_XM_022081631.2.pdb
004	XM_022081630.2	tRNA XM_022081630.2 PREDICTED: Zootermopsis nevadensis tRNA methyltransferase 6 non-catalytic subunit (LOC110838438), transcript variant X2, mRNA	1905	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	20	1.886	416	True	7			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/004_XM_022081630.2.pdb
005	XM_022081629.2	tRNA XM_022081629.2 PREDICTED: Zootermopsis nevadensis tRNA methyltransferase 6 non-catalytic subunit (LOC110838438), transcript variant X1, mRNA	1961	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	20	1.886	432	True	7			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/005_XM_022081629.2.pdb
006	XM_087351383.1	tRNA XM_087351383.1 PREDICTED: Zootermopsis nevadensis tRNA methyltransferase 6 non-catalytic subunit (Trmt6), mRNA	1828	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	28	7318499.0877	426	True	8			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/006_XM_087351383.1.pdb
007	XM_022077996.2	tRNA XM_022077996.2 PREDICTED: Zootermopsis nevadensis asparagine--tRNA ligase (AsnRS), transcript variant X4, mRNA	2318	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	22	1242912.2707	551	True	8			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/007_XM_022077996.2.pdb
008	XM_022077995.2	tRNA XM_022077995.2 PREDICTED: Zootermopsis nevadensis asparagine--tRNA ligase (AsnRS), transcript variant X3, mRNA	2309	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	17	-3.9468	548	True	7			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/008_XM_022077995.2.pdb
009	XM_022077994.2	tRNA XM_022077994.2 PREDICTED: Zootermopsis nevadensis asparagine--tRNA ligase (AsnRS), transcript variant X2, mRNA	2340	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	18	5.3848	546	True	7			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/009_XM_022077994.2.pdb
010	XM_022077993.2	tRNA XM_022077993.2 PREDICTED: Zootermopsis nevadensis asparagine--tRNA ligase (AsnRS), transcript variant X1, mRNA	2328	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	22	-2.9265	549	True	8			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/010_XM_022077993.2.pdb
011	XM_022068987.2	tRNA XM_022068987.2 PREDICTED: Zootermopsis nevadensis tRNA methyltransferase 61 (Trmt61), mRNA	2146	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	43	253908.7385	491	True	11			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/011_XM_022068987.2.pdb
012	XM_022960853.2	tRNA XM_022960853.2 PREDICTED: Spodoptera litura tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial (LOC111349655), mRNA	1500	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	0	0.0	333	False	0			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/012_XM_022960853.2.pdb
