idx	accession	taxon	len_aa	tuple	p4ra_fold	p4ra_catalytic	bond_kJmol	modulus_GPa	bandgap_eV	melt_K
001	A0A1B0GTW7	Homo_sapiens sp	788	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
002	A0JP26	Homo_sapiens sp	581	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
003	A0PK11	Homo_sapiens sp	232	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
004	A1A4S6	Homo_sapiens sp	786	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
005	A1A519	Homo_sapiens sp	330	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
006	A1L190	Homo_sapiens sp	88	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
007	A1L3X0	Homo_sapiens sp	281	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
008	A2A2Y4	Homo_sapiens sp	597	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
009	A2RU14	Homo_sapiens sp	115	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
010	A2RUC4	Homo_sapiens sp	315	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
011	A0A5K7RLP0	Mus_musculus sp	589	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
012	A2A9F4	Mus_musculus sp	397	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
013	A2AC93	Mus_musculus sp	623	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
014	A2AIP0	Mus_musculus sp	273	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
015	A2AIW0	Mus_musculus sp	432	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
016	A2AJB7	Mus_musculus sp	192	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
017	A2AKQ0	Mus_musculus sp	355	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
018	A2ALS5	Mus_musculus sp	663	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	-9.00 kcal/mol	1.000	175.0	868.1	0.444	3785
